Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
BurbrinkIQlogs						
missingCladeDir						
T212_L1	-56910.4044	-56867.6132	-56867.1881	-56865.9243	-56870.0422	
T212_L10	-37360.3006	-37327.2277	-37327.2276	-37332.3638	-37333.7742	
T212_L100	-63001.8347	-62967.7771	-62967.7758	-62970.5634	-62969.3885	
T212_L101	-42773.1453	-42758.6397	-42759.7491	-42760.8760	-42759.0205	
T212_L103	-42561.4420	-42533.6806	-42535.0167	-42533.6909	-42534.9856	
T212_L104	-55487.0730	-55461.9975	-55461.9975	-55461.9971	-55461.9985	
T212_L107	-49778.7968	-49733.6571	-49733.9102	-49733.9095	-49733.6498	
T212_L109	-26405.6628	-26396.3344	-26402.1210	-26401.7319	-26396.3314	
T212_L11	-41752.2032	-41732.4089	-41734.2030	-41733.6708	-41732.4192	
T212_L110	-35100.1305	-35087.5302	-35090.0767	-35086.7997	-35089.3453	
T212_L111	-30858.5579	-30845.2963	-30842.7618	-30843.3340	-30842.7584	
T212_L112	-32225.6218	-32210.9913	-32210.8139	-32211.5032	-32210.5851	
T212_L113	-60857.7481	-60842.0912	-60845.5217	-60843.3438	-60841.3199	
T212_L115	-11308.0068	-11308.7403	-11313.4655	-11309.1570	-11311.5468	
T212_L119	-30826.9530	-30822.9017	-30821.8544	-30822.0461	-30822.0450	
T212_L12	-15301.3794	-15289.3561	-15289.4692	-15291.5138	-15291.3993	
T212_L121	-34672.1991	-34656.8105	-34657.1769	-34656.8025	-34657.1915	
T212_L123	-35320.0878	-35310.7784	-35310.7899	-35310.7917	-35310.7779	
T212_L124	-51043.7401	-51022.3158	-51022.3183	-51022.3261	-51022.3177	
T212_L128	-40147.3029	-40118.7693	-40118.7682	-40119.6042	-40119.6053	
T212_L129	-37602.4482	-37562.6163	-37562.7881	-37564.6003	-37564.5897	
T212_L13	-34878.2592	-34851.7786	-34853.5600	-34853.5603	-34851.7824	
T212_L130	-39692.9565	-39676.3843	-39676.3732	-39676.8778	-39676.8836	
T212_L131	-53202.1677	-53179.4837	-53179.9592	-53176.6292	-53175.2566	
T212_L133	-50704.9567	-50671.4197	-50671.4185	-50672.1987	-50671.5462	
T212_L134	-43213.0495	-43202.0654	-43203.3536	-43202.2815	-43202.3766	
T212_L135	-44538.5497	-44515.8675	-44518.1854	-44517.4335	-44515.8696	
T212_L139	-52368.1729	-52345.7131	-52345.7196	-52347.0611	-52346.9621	
T212_L14	-44586.7494	-44555.6669	-44554.9170	-44556.0518	-44555.5246	
T212_L144	-49521.8368	-49478.1298	-49476.9610	-49476.5982	-49477.0990	
T212_L148	-40276.6517	-40253.3146	-40253.3164	-40254.2039	-40254.2294	
T212_L149	-34594.3750	-34566.3930	-34566.3969	-34567.6676	-34566.9885	
