Locus	Sclero	ToxPoly	ToxAngIg	ToxSnAng	ToxSnIg
missingCladeDir						
T212_L1	-71403.22	-71325.63	-71312.27	-71300.82	-71319.84	
T212_L10	-44167.09	-44118.95	-44106.63	-44124.25	-44126.00	
T212_L100	-72682.65	-72587.39	-72611.65	-72608.80	-72609.59	
T212_L101	-52773.05	-52748.14	-52738.16	-52746.51	-52752.66	
T212_L102	-16012.93	-16002.78	-16007.42	-16010.01	-16003.69	
T212_L103	-48683.31	-48638.90	-48640.06	-48636.34	-48641.60	
T212_L104	-67934.68	-67882.26	-67892.97	-67895.42	-67887.93	
T212_L105	-14707.68	-14712.16	-14719.66	-14715.39	-14719.69	
T212_L106	-71767.00	-71745.80	-71752.84	-71756.27	-71766.88	
T212_L107	-59017.95	-58950.36	-58953.58	-58940.76	-58944.31	
T212_L108	-67357.06	-67366.74	-67372.49	-67366.98	-67348.78	
T212_L109	-32547.06	-32511.10	-32529.66	-32523.01	-32526.65	
T212_L11	-47475.89	-47478.35	-47471.57	-47479.33	-47459.89	
T212_L110	-41307.20	-41291.70	-41304.79	-41287.54	-41291.45	
T212_L111	-38310.43	-38264.30	-38253.05	-38261.55	-38250.84	
T212_L112	-38183.05	-38137.47	-38129.99	-38137.59	-38136.26	
T212_L113	-68980.53	-68944.01	-68967.60	-68941.90	-68935.39	
T212_L114	-28441.91	-28443.16	-28448.92	-28449.49	-28445.09	
T212_L115	-15792.42	-15804.26	-15805.26	-15808.32	-15797.52	
T212_L116	-33033.12	-33020.33	-33030.66	-33045.36	-33038.96	
T212_L117	-60523.34	-60514.59	-60524.23	-60524.02	-60510.18	
T212_L118	-35516.79	-35514.48	-35521.87	-35524.91	-35520.73	
T212_L119	-36753.32	-36725.52	-36733.18	-36735.47	-36719.64	
T212_L12	-20060.46	-20034.67	-20046.49	-20045.31	-20043.58	
T212_L120	-27261.18	-27261.00	-27253.96	-27254.51	-27254.16	
T212_L121	-44167.27	-44130.18	-44120.45	-44120.24	-44124.28	
T212_L122	-63820.55	-63816.88	-63810.94	-63811.03	-63820.74	
T212_L123	-42136.91	-42112.64	-42106.33	-42109.07	-42111.93	
T212_L124	-63684.72	-63644.89	-63642.48	-63636.71	-63629.47	
T212_L125	-61994.21	-61980.39	-62011.39	-61998.49	-61992.94	
T212_L126	-54039.30	-54024.97	-54028.38	-54030.86	-54038.70	
T212_L127	-28334.85	-28341.00	-28345.82	-28340.30	-28344.62	
T212_L128	-45321.04	-45284.92	-45283.62	-45281.98	-45289.32	
T212_L129	-44803.46	-44731.85	-44728.10	-44733.77	-44729.80	
T212_L13	-40788.94	-40731.20	-40725.29	-40723.54	-40735.71	
T212_L130	-48560.24	-48518.75	-48521.22	-48524.17	-48514.61	
T212_L131	-63885.34	-63853.38	-63854.94	-63858.15	-63868.33	
T212_L132	-30359.34	-30337.29	-30355.91	-30351.87	-30349.08	
T212_L133	-59828.99	-59787.78	-59778.12	-59777.63	-59781.38	
T212_L134	-51575.05	-51543.09	-51542.14	-51527.15	-51536.14	
T212_L135	-51409.42	-51385.44	-51391.51	-51394.06	-51395.69	
T212_L136	-44232.29	-44237.32	-44226.66	-44235.93	-44238.48	
T212_L137	-52017.35	-52023.05	-52017.44	-52014.93	-52005.71	
T212_L138	-46001.13	-46000.74	-46004.88	-46004.49	-46017.87	
T212_L139	-61501.68	-61449.04	-61453.90	-61453.99	-61448.66	
T212_L14	-54728.15	-54659.73	-54664.42	-54673.19	-54670.84	
T212_L140	-50003.55	-49992.43	-50003.92	-49991.03	-49988.02	
T212_L141	-14431.67	-14440.81	-14430.38	-14431.00	-14432.21	
T212_L142	-10016.49	-10026.83	-10025.32	-10016.37	-10029.65	
T212_L143	-54635.40	-54631.67	-54616.38	-54642.56	-54641.56	
T212_L144	-58823.16	-58755.22	-58763.32	-58766.74	-58735.50	
T212_L145	-67632.89	-67629.17	-67623.95	-67632.68	-67622.52	
T212_L146	-24081.15	-24086.29	-24084.34	-24088.57	-24092.92	
T212_L147	-55904.30	-55893.39	-55884.88	-55888.90	-55892.85	
T212_L148	-47504.13	-47444.07	-47456.53	-47444.48	-47453.36	
T212_L149	-41466.93	-41430.52	-41432.12	-41427.47	-41431.52	
T212_L15	-49991.35	-49930.31	-49914.29	-49944.83	-49928.93	
T212_L150	-54535.09	-54491.57	-54487.93	-54508.25	-54501.65	
T212_L151	-43346.08	-43337.94	-43339.19	-43341.76	-43343.27	
T212_L152	-59927.71	-59876.91	-59894.16	-59890.98	-59894.33	
T212_L153	-41797.45	-41771.02	-41758.54	-41786.83	-41775.09	
T212_L154	-64650.82	-64629.88	-64646.83	-64631.39	-64638.10	
T212_L155	-59719.35	-59690.78	-59694.91	-59703.71	-59692.21	
T212_L156	-53346.75	-53320.36	-53325.82	-53292.56	-53305.61	
T212_L157	-72181.34	-72128.53	-72138.46	-72144.53	-72123.54	
T212_L158	-24765.33	-24739.59	-24739.99	-24748.14	-24746.34	
T212_L159	-41830.91	-41794.70	-41800.81	-41789.23	-41783.78	
T212_L16	-47558.56	-47515.03	-47527.84	-47517.29	-47513.12	
T212_L160	-62607.25	-62571.58	-62587.87	-62576.54	-62582.17	
T212_L161	-14888.10	-14891.50	-14879.80	-14887.40	-14892.71	
T212_L162	-65207.32	-65165.35	-65162.40	-65146.77	-65168.12	
T212_L163	-57639.74	-57600.24	-57603.09	-57589.90	-57596.00	
T212_L164	-43160.34	-43056.47	-43067.67	-43066.20	-43056.30	
T212_L165	-50390.47	-50376.80	-50387.06	-50378.25	-50372.69	
T212_L166	-39784.85	-39753.74	-39751.90	-39756.37	-39762.01	
T212_L167	-34493.86	-34462.40	-34457.67	-34465.10	-34464.05	
T212_L168	-59448.17	-59453.39	-59436.84	-59454.97	-59447.91	
T212_L169	-63394.69	-63385.07	-63382.00	-63378.94	-63381.22	
T212_L17	-38190.06	-38184.53	-38190.70	-38196.97	-38185.61	
T212_L170	-41057.81	-41043.91	-41059.06	-41041.96	-41048.11	
T212_L171	-32184.99	-32149.57	-32158.75	-32157.21	-32157.10	
T212_L172	-32997.22	-33000.01	-32999.59	-33005.75	-32997.59	
T212_L173	-44536.67	-44516.64	-44516.97	-44518.40	-44511.07	
T212_L174	-30192.68	-30151.06	-30161.08	-30162.35	-30155.31	
T212_L175	-78643.24	-78634.88	-78631.83	-78613.00	-78624.37	
T212_L176	-50226.33	-50145.02	-50154.18	-50158.73	-50162.25	
T212_L177	-57673.02	-57639.67	-57634.21	-57638.14	-57664.56	
T212_L178	-46650.51	-46621.51	-46621.46	-46615.93	-46622.21	
T212_L179	-22795.53	-22767.63	-22774.26	-22763.23	-22771.95	
T212_L18	-41538.73	-41516.67	-41503.57	-41511.31	-41508.38	
T212_L180	-61885.63	-61888.69	-61891.10	-61861.21	-61883.42	
T212_L181	-67274.96	-67208.08	-67214.75	-67194.33	-67210.75	
T212_L182	-61364.33	-61350.71	-61354.84	-61361.69	-61365.31	
T212_L183	-30782.23	-30763.97	-30770.61	-30774.30	-30773.87	
T212_L184	-25647.80	-25638.98	-25648.80	-25644.01	-25647.86	
T212_L185	-74266.53	-74217.92	-74240.36	-74233.23	-74232.19	
T212_L186	-40511.60	-40473.47	-40481.23	-40483.39	-40485.73	
T212_L187	-58790.36	-58774.35	-58786.66	-58771.14	-58779.87	
T212_L188	-51732.09	-51719.73	-51719.08	-51711.70	-51705.71	
T212_L189	-81958.85	-81871.70	-81882.43	-81883.79	-81898.85	
T212_L19	-26298.25	-26297.14	-26298.58	-26310.13	-26312.57	
T212_L190	-50537.16	-50508.83	-50506.45	-50513.47	-50514.29	
T212_L191	-28424.85	-28420.89	-28427.18	-28430.52	-28435.63	
T212_L192	-43979.85	-43927.34	-43920.87	-43927.54	-43911.89	
T212_L193	-59739.31	-59681.91	-59677.69	-59681.36	-59675.04	
T212_L194	-53004.36	-52906.28	-52927.38	-52903.84	-52913.95	
T212_L195	-27872.73	-27879.70	-27871.99	-27881.92	-27876.03	
T212_L196	-28622.33	-28643.70	-28645.33	-28644.63	-28644.72	
T212_L197	-56774.88	-56770.54	-56757.22	-56773.72	-56769.08	
T212_L198	-37431.53	-37399.56	-37391.69	-37403.49	-37395.53	
T212_L199	-30673.70	-30661.87	-30667.58	-30660.13	-30676.00	
T212_L2	-71788.60	-71640.72	-71657.29	-71656.47	-71656.01	
T212_L20	-17678.35	-17673.10	-17683.40	-17682.74	-17673.66	
T212_L200	-67531.42	-67520.26	-67522.14	-67522.65	-67525.39	
T212_L201	-43193.29	-43135.16	-43142.09	-43148.48	-43137.70	
T212_L202	-35189.14	-35139.69	-35157.45	-35144.63	-35139.43	
T212_L203	-27218.46	-27193.04	-27187.42	-27184.32	-27195.54	
T212_L204	-48659.95	-48596.78	-48595.02	-48600.54	-48603.44	
T212_L205	-14176.25	-14175.70	-14183.19	-14175.54	-14177.59	
T212_L206	-52897.10	-52840.44	-52839.76	-52853.89	-52838.46	
T212_L207	-43446.00	-43423.53	-43418.41	-43433.96	-43425.13	
T212_L208	-53226.86	-53189.98	-53199.87	-53187.59	-53179.79	
T212_L209	-80661.59	-80659.67	-80682.80	-80668.79	-80674.10	
T212_L21	-28386.74	-28402.71	-28396.90	-28405.47	-28405.80	
T212_L210	-57113.75	-57115.65	-57105.95	-57123.68	-57118.41	
T212_L211	-52491.61	-52455.86	-52478.82	-52472.54	-52477.54	
T212_L212	-64100.41	-64053.81	-64054.66	-64042.12	-64043.17	
T212_L213	-41085.23	-41055.10	-41071.65	-41053.22	-41064.51	
T212_L214	-53040.29	-53096.79	-53091.89	-53094.88	-53096.06	
T212_L215	-66879.60	-66832.77	-66829.98	-66844.31	-66847.98	
T212_L216	-23354.68	-23345.67	-23348.64	-23341.10	-23343.93	
T212_L217	-64890.35	-64895.57	-64884.38	-64891.43	-64898.69	
T212_L218	-73925.38	-73925.82	-73925.03	-73929.61	-73916.66	
T212_L219	-53635.24	-53599.80	-53614.01	-53622.92	-53603.66	
T212_L22	-22229.40	-22263.76	-22264.39	-22265.45	-22265.72	
T212_L220	-32371.07	-32355.76	-32360.78	-32342.88	-32351.71	
T212_L221	-49502.95	-49434.35	-49430.79	-49430.49	-49432.86	
T212_L222	-44436.38	-44369.22	-44379.26	-44391.76	-44371.92	
T212_L223	-8770.68	-8775.86	-8771.52	-8773.08	-8772.41	
T212_L224	-33212.53	-33158.97	-33153.93	-33142.61	-33159.44	
T212_L225	-56751.60	-56708.73	-56737.36	-56716.92	-56736.99	
T212_L226	-59212.73	-59155.01	-59170.39	-59158.72	-59168.70	
T212_L227	-88945.37	-88802.22	-88809.23	-88811.67	-88807.53	
T212_L228	-30192.62	-30191.19	-30192.27	-30198.70	-30206.55	
